domanda;risp_A;risp_B;risp_C;risp_corretta;pti
I Regolamenti di Polizia Rurale sono approvati:;con delibera regionale;dai Consigli comunali;dai Consigli comunali e sottoposti a successiva approvazione della Regione;B;1
Un utilizzatore professionale incorre in sanzioni se non è in possesso della Scheda Dati di Sicurezza di un prodotto fitosanitario in fase di utilizzo?;Sì;Se non viene consegnata dal rivenditore non si incorre in nessuna sanzione;No, la sanzione è prevista solo per il rivenditore;A;2
Quali sono i Siti che formano la Rete Natura 2000?;I Siti di Importanza Comunitaria (SIC) e le Zone di Protezione Speciale (ZPS);I Siti di Importanza Comunitaria (SIC) e le Riserve naturali;Le Zone di Protezione Speciale (ZPS) e i Parchi regionali e nazionali;A;2
Cosa deve verificare un agricoltore che affida i trattamenti fitosanitari ad un contoterzista?;Almeno l’iscrizione alla Camera di commercio e il possesso del “certificato per utilizzatore professionale”;L’iscrizione ad una associazione di categoria;Che non abbia avuto condanne penali passate in giudicato per utilizzo improprio di prodotti fitosanitari;A;2
In caso di mancato rispetto delle indicazioni riportate nell’etichetta di un prodotto fitosanitario viene applicata:;una diffida da parte dell’autorità competente;una sanzione amministrativa, salvo che il fatto costituisca reato;una sanzione penale fino a sei mesi;B;3
Chi impiega un prodotto fitosanitario in data successiva al termine stabilito per lo smaltimento delle scorte è punito con:;una sanzione penale;una sanzione amministrativa;nessuna sanzione se il prodotto fitosanitario viene usato su una coltura riportata in etichetta;B;2
Il registro dei trattamenti può essere compilato anche dall’utilizzatore dei prodotti fitosanitari diverso dal titolare dell’azienda?;No, mai;Sì;Sì, ma in questo caso deve essere sottoscritto dal titolare al termine dell’anno solare;C;2
Per quanto tempo deve essere conservato il registro dei trattamenti?;Solo per l’annata agraria a cui si riferiscono le registrazioni;Per almeno tre anni successivi a quello a cui si riferiscono le registrazioni;Per almeno cinque anni successivi a quello a cui si riferiscono le registrazioni;B;3
I Limiti Massimi dei Residui (LMR) sui prodotti destinati all’alimentazione sono fissati:;dal Ministero della Salute con appositi decreti;da Regolamenti UE;da Decisioni della UE che i singoli Stati membri devono recepire;B;1
Il regolamento CLP suddivide i pericoli in:;3 classi (pericoloso per la salute umana, pericoloso per l’ambiente, pericoloso per l’ambiente acquatico);4 classi (chimico-fisico, pericoloso per la salute umana, pericoloso per l’ambiente, supplementare);5 classi (tossicità acuta, cancerogenicità, pericolose per lo strato di ozono, pericoloso per l’ambiente acquatico, liquidi infiammabili e esplosivi);B;1
