domanda;risp_A;risp_B;risp_C;risp_corretta;pti
Quando l’operatore agricolo miscela due o più prodotti fitosanitari con intervalli di sicurezza diversi, dopo quanti giorni può effettuare la raccolta?;Dopo il numero di giorni indicati sul prodotto con l’intervallo di sicurezza più lungo;Dopo il numero di giorni indicati per il prodotto più tossico;Dopo un numero di giorni derivanti dalla somma dell’intervallo di sicurezza dei prodotti miscelati;A;3
Le confezioni di prodotti fitosanitari possono essere tenute a contatto diretto di pareti e pavimenti?;Sì, se il locale non è seminterrato;No;Solo se le confezioni sono in materiale plastico;B;3
Un rivenditore è obbligato a consegnare la Scheda di sicurezza (SDS) all’atto dell’acquisto di un prodotto fitosanitario?;No, mai;Sì, sempre;No se l’ha già consegnata allo stesso acquirente meno di un anno prima e nel frattempo non è stata modificata;C;3
Attraverso quali vie può avvenire un’intossicazione acuta?;Solamente per ingestione;Attraverso la pelle, per ingestione e attraverso l’apparato respiratorio;Solamente attraverso la pelle;B;1
Cosa deve fare l’utilizzatore di una maschera con filtro “antigas” efficace contro i vapori organici?;Sostituire il filtro alla data di scadenza;Se il filtro non è mai stato usato non è necessario sostituirlo alla data di scadenza;Verificare la tenuta della maschera alla scadenza del filtro;A;1
Con quale colore è contrassegnato un filtro per vapori organici?;Marrone;Grigio;Verde;A;1
A cosa serve un prodotto fitosanitario insetticida?;Combattere gli insetti dannosi agli animali e alle piante coltivate;Combattere malattie crittogamiche;Combattere gli insetti dannosi alle piante coltivate;C;3
A cosa serve un prodotto fitosanitario erbicida?;A controllare o eliminare le erbe infestanti;A curare le erbe infestanti;Alla sterilizzazione del suolo;A;3
Alcuni prodotti fitosanitari possono essere impiegati per trattamenti di zone non agricole?;Sì, sempre;No;Solo quando è specificamente indicato in etichetta;C;3
Cosa sono i prodotti fitosanitari pronti all’impiego?;Sono prodotti preparati e confezionati pronti per l’uso;Sono prodotti che si possono acquistare in qualsiasi negozio;Sono prodotti che non richiedono nessuna precauzione;A;2
Un prodotto aficida può essere impiegato su qualsiasi coltura per la lotta contro gli afidi?;Sì, purché venga rispettato il tempo di carenza più elevato;No, solo per le colture indicate in etichetta;Sì, in quanto è un prodotto specifico;B;3
Un prodotto fitosanitario concentrato può essere impiegato come tale?;Sì, sempre;No, mai;Solamente se riportato in etichetta;C;1
I prodotti fitosanitari per essere immessi in commercio da quale Ente devono essere autorizzati?;Dai Settori Fitosanitari Regionali (SFR);Dal Ministero delle Politiche Agricole Alimentari e Forestali;Dal Ministero della Salute;C;1
Cosa si intende per sostanza attiva?;È la denominazione commerciale del prodotto;La sostanza contenuta in un prodotto fitosanitario che agisce contro le avversità da combattere;Un prodotto che può essere acquistato solamente da chi possiede il patentino;B;2
Cosa si intende per “preparato” o “formulato commerciale”?;È una miscela di più sostanze attive;È la sostanza attiva;È il prodotto fitosanitario come acquistato dal distributore;C;2
Nei locali di deposito e vendita di prodotti fitosanitari può avvenire lo stoccaggio/vendita di alimenti e/o di mangimi?;Sì, sempre;No;Sì, fino ad un massimo del 10% in peso;B;3
I DPI che appartengono alla 3a categoria;sono quelli che offrono garanzie di protezioni maggiori in termini di sicurezza in quanto alla categoria appartengono i DPI sottoposti alle prove di resistenza specifiche previste dalla norma;"sono quelli che presentano maggiore resistenza al rischio di abrasione; le tute, i guanti e le scarpe utilizzate in agricoltura devono appartenere a questa categoria";sono quelli di progettazione complessa destinati a salvaguardare dai rischi di morte o di lesioni gravi e di carattere permanente;C;1
Cosa si intende dal punto di vista sanitario per residuo di una sostanza attiva?;La percentuale di sostanza attiva, delle sue impurezze e/o dei suoi prodotti di metabolizzazione, degradazione o reazione, presenti come residuo sui prodotti alimentari;La quantità di sostanza attiva, delle sue impurezze e/o dei suoi prodotti di metabolizzazione, degradazione o reazione, presenti in qualsiasi substrato (suolo, acqua, vegetali, alimenti);La quantità di sostanza attiva che residua nel serbatoio della macchina di distribuzione dopo aver effettuato il trattamento;B;1
Il certificato di abilitazione per utilizzatori professionali può essere lasciato in deposito presso il rivenditore?;Sì, se gli acquisti vengono eseguiti sempre nella medesima rivendita;No, in quanto è un documento personale necessario al trasporto, alla detenzione oltreché all’acquisto dei prodotti fitosanitari;Sì, fino a quando il patentino non è scaduto;B;3
Un rivenditore deve accertarsi del possesso del certificato di abilitazione per utilizzatore professionale dell’acquirente ad ogni acquisto?;Tutte le volte in cui vende un prodotto fitosanitario ad uso professionale;Non è necessario se l’acquirente è un cliente conosciuto e se il rivenditore è in possesso dei dati del suo certificato di abilitazione;Sì, sempre;A;3
E' possibile allestire locali interrati ad uso di deposito di prodotti fitosanitari?;Sì, sempre;Soltanto se in deroga rilasciata dal Sindaco sentito il parere tecnico dell'ASL competente;No, mai;C;3
Quale, fra i seguenti, non è un prodotto fitosanitario?;Un concime che ha anche una certa azione insetticida (come il calciocianamide);Un fitoregolatore (come l’auxina);Un erbicida che si può usare sia sulle colture che in ambiente urbano;A;3
Cosa significa il parametro della dose letale 50?;Il 50% di prodotto fitosanitario che può essere letale se ingerito;La quantità di sostanza attiva che uccide il 50% di animali in laboratorio;La quantità di prodotto fitosanitario da diluire al 50% per avere un’azione letale;B;1
Possono essere venduti prodotti fitosanitari in confezioni non sigillate o non originali?;No, in nessun caso;Sì, purché l’acquirente sia un contoterzista;Sì, purché il rivenditore ne garantisca la provenienza;A;3
L’intervallo di sicurezza di un prodotto fitosanitario varia se viene diminuita la concentrazione d’impiego?;Non varia;Sì, diminuisce proporzionalmente alle concentrazioni;Sì, aumenta in modo inversamente proporzionale alla diluizione;A;1
Nelle aree trattate di recente con prodotti fitosanitari e frequentate da operatori agricoli o ad essi accessibili, salvo quanto espressamente riportato in etichetta, è vietato accedere senza gli specifici dispositivi di protezione individuale:;almeno nelle 12 ore successive all’applicazione del prodotto fitosanitario;almeno nelle 48 ore successive all’applicazione del prodotto fitosanitario;almeno nelle 24 ore successive all’applicazione del prodotto fitosanitario;B;1
In quale gruppo si deve scegliere il prodotto da utilizzare per combattere gli afidi dannosi alle colture?;Insetticidi;Anticrittogamici;Acaricidi;A;3
Con i prodotti fitosanitari insetticidi si possono trattare gli animali domestici?;Solamente se non danno latte oppure, se da carne, al massimo fino a 15 giorni prima di essere macellati;No, mai;Solo una volta l’anno;B;1
Perché è importante conoscere il meccanismo di azione della sostanza attiva?;Precisa se un prodotto è nocivo agli insetti ed acari utili;Aiuta a determinare la quantità minima utile per combattere le avversità contro cui è registrato;Per evitare l’insorgenza di fenomeni di resistenza;C;3
Quali dati minimi deve contenere la scheda informativa che ogni anno i titolari di imprese commerciali che vendono prodotti fitosanitari devono inviare al Sistema Informativo Agricolo Nazionale?;Solo informazioni relative al dichiarante: ragione sociale o cognome e nome, partita iva o codice fiscale, sede e recapito telefonico o fax o e-mail, specificazione se titolare di autorizzazione o intermediario;Solo informazioni relative ai prodotti quali denominazione di vendita, numero di registrazione, quantità espresse in chilogrammi o litri;Tutto quanto riportato nelle risposte precedenti;C;2
In caso di insorgenza di un malessere che si ritiene in qualche modo collegato all’impiego di prodotti fitosanitari come è opportuno comportarsi?;Provocare il vomito e mettersi a riposo;Rivolgersi al pronto soccorso mostrando le schede di sicurezza dei prodotti utilizzati;Bere del latte, distendersi per qualche ora e controllare la saturazione del sangue con un saturimetro;B;2
Qual è l’epoca di intervento legata all’attività di un prodotto fungicida di copertura?;Preventiva: impedisce lo sviluppo dell’infezione;Curativa: consente di combattere la malattia durante l’incubazione;Eradicante: blocca lo sviluppo di infezioni già manifeste;A;2
A cosa servono i prodotti fitosanitari anticrittogamici?;A combattere le malattie fungine delle piante coltivate;Esclusivamente ad eliminare i funghi nelle fungaie;A distruggere le foglie attaccate dal marciume;A;3
Durante il trasporto dei prodotti fitosanitari acquistati è necessario disporre di Dispositivi di Protezione Individuale?;Sì, perché in caso di rottura delle confezioni e/o sversamenti è necessario indossare i DPI;Solo se si sono acquistati prodotti fitosanitari sfusi e non conservati nelle confezioni originali;No nel caso in cui vengano trasportati in un vano separato dall’abitacolo del mezzo di trasporto;A;3
In caso di trattamenti in serra non provvista di impianto di irrorazione automatizzato, quali mezzi di protezione individuale delle vie respiratorie è opportuno utilizzare?;Casco elettroventilato;Facciale filtrante;Facciale intero;A;1
Gli insetti e gli acari presenti sulle colture sono tutti dannosi?;No;Sì;No, se sono adulti;A;1
Cosa si intende per tempo di rientro?;L’intervallo di tempo che, deve trascorrere tra il trattamento e l’accesso di uomini o animali nella zona trattata;L’intervento di tempo che è previsto tra la raccolta del prodotto e la semina della coltura successiva sullo stesso appezzamento;L’intervallo di tempo previsto tra la raccolta del prodotto trattato e il suo trasporto presso il centro di distribuzione;A;2
Come devono essere conservati i prodotti fitosanitari?;È sufficiente che siano tenuti separati da sostanze alimentari o mangimi;In un luogo appartato dell’abitazione;In locali autorizzati ad uso esclusivo o in appositi armadi posizionati in essi ambedue da tenere chiusi a chiave, in assenza di deposito di alimenti e mangimi;C;3
I prodotti fitosanitari acquistati da un utilizzatore professionale possono essere da questi ceduti ad altre persone?;No, in nessun caso;Solamente se si è certi che il loro impiego avvenga in modo corretto;Sì, se queste persone sono in possesso del certificato;A;1
E’ opportuno che una donna in gestazione o in allattamento collabori ai trattamenti?;Sì;Sì, se provvista di mezzi personali di difesa;No, in nessun caso;C;1
I contenitori usati dei prodotti fitosanitari, conferiti a una ditta specializzata per lo smaltimento, devono...;essere accompagnati solo dalla bolla di trasporto;essere accompagnati dal formulario di identificazione dei rifiuti;essere accompagnati dalla fattura di acquisto;B;1
Che cosa si intende per selettività di un insetticida?;La capacità di agire sugli insetti nocivi pur essendo di bassa tossicità per l’uomo;La capacità di eliminare tutti gli insetti presenti nella coltura;La capacità di eliminare gli insetti nocivi, ma rispettando il più possibile gli insetti utili;C;2
Nelle macchine irroratrici ad alto volume la quantità di prodotto da irrorare per ettaro, rispetto a quelle a basso volume, è...;maggiore;minore;uguale;C;1
L’indicazione riportata in una etichetta di un prodotto fitosanitario di una dose di 1,5 litri per ettaro equivale a:;1,5 litri per 100 litri di acqua;1,5 litri per 1.000 metri quadrati di terreno;0,75 litri per 5.000 metri quadrati di terreno;C;2
E’ opportuno irrorare una coltura in presenza di vento?;Sì, con l’accortezza di trattare controvento;Sì, osservando l’anemometro o i tracciati di fumo;No, comunque;C;1
